"행정구역","2019년_계_총인구수","2019년_계_연령구간인구수","2019년_계_0~9세","2019년_계_10~19세","2019년_계_20~29세","2019년_계_30~39세","2019년_계_40~49세","2019년_계_50~59세","2019년_계_60~69세","2019년_계_70~79세","2019년_계_80~89세","2019년_계_90~99세","2019년_계_100세 이상","2019년_남_총인구수","2019년_남_연령구간인구수","2019년_남_0~9세","2019년_남_10~19세","2019년_남_20~29세","2019년_남_30~39세","2019년_남_40~49세","2019년_남_50~59세","2019년_남_60~69세","2019년_남_70~79세","2019년_남_80~89세","2019년_남_90~99세","2019년_남_100세 이상","2019년_여_총인구수","2019년_여_연령구간인구수","2019년_여_0~9세","2019년_여_10~19세","2019년_여_20~29세","2019년_여_30~39세","2019년_여_40~49세","2019년_여_50~59세","2019년_여_60~69세","2019년_여_70~79세","2019년_여_80~89세","2019년_여_90~99세","2019년_여_100세 이상"
"서울특별시  (1100000000)","9,729,107","9,729,107","662,693","819,571","1,456,623","1,509,959","1,560,983","1,539,968","1,189,802","684,087","259,487","39,690","6,244","4,744,059","4,744,059","340,334","421,339","713,660","754,830","773,528","754,442","562,796","311,890","99,231","10,413","1,596","4,985,048","4,985,048","322,359","398,232","742,963","755,129","787,455","785,526","627,006","372,197","160,256","29,277","4,648"
"서울특별시 종로구 (1111000000)","151,290","151,290","8,211","11,748","23,572","20,376","23,077","25,714","19,128","12,538","5,673","1,000","253","73,746","73,746","4,143","5,932","11,684","10,086","11,222","12,932","9,486","5,552","2,274","353","82","77,544","77,544","4,068","5,816","11,888","10,290","11,855","12,782","9,642","6,986","3,399","647","171"
"서울특별시 종로구 청운효자동(1111051500)","12,734","12,734","901","1,258","1,628","1,760","2,251","1,986","1,334","1,025","497","77","17","5,939","5,939","465","667","803","817","994","951","582","427","199","31","3","6,795","6,795","436","591","825","943","1,257","1,035","752","598","298","46","14"
"서울특별시 종로구 사직동(1111053000)","9,535","9,535","638","748","1,240","1,394","1,534","1,538","1,122","784","429","89","19","4,297","4,297","320","347","573","617","683","691","510","340","175","36","5","5,238","5,238","318","401","667","777","851","847","612","444","254","53","14"
"서울특별시 종로구 삼청동(1111054000)","2,758","2,758","106","210","356","389","383","437","400","296","145","28","8","1,326","1,326","45","129","183","190","189","208","188","134","47","13","0","1,432","1,432","61","81","173","199","194","229","212","162","98","15","8"
"서울특별시 종로구 부암동(1111055000)","10,100","10,100","598","956","1,391","1,254","1,637","1,723","1,273","793","392","73","10","4,826","4,826","307","520","730","583","758","789","603","350","163","20","3","5,274","5,274","291","436","661","671","879","934","670","443","229","53","7"
"서울특별시 종로구 평창동(1111056000)","18,659","18,659","1,204","1,733","2,604","2,293","2,806","3,351","2,335","1,431","726","152","24","8,739","8,739","609","892","1,349","1,054","1,250","1,512","1,124","625","276","40","8","9,920","9,920","595","841","1,255","1,239","1,556","1,839","1,211","806","450","112","16"
"서울특별시 종로구 무악동(1111057000)","8,695","8,695","748","1,031","976","973","1,602","1,390","980","641","289","50","15","4,060","4,060","340","491","445","441","767","721","449","255","122","19","10","4,635","4,635","408","540","531","532","835","669","531","386","167","31","5"
"서울특별시 종로구 교남동(1111058000)","10,562","10,562","910","858","1,311","1,794","1,894","1,574","1,134","723","307","42","15","4,915","4,915","467","419","606","829","902","757","499","290","127","14","5","5,647","5,647","443","439","705","965","992","817","635","433","180","28","10"
"서울특별시 종로구 가회동(1111060000)","4,383","4,383","217","357","485","598","783","719","574","436","170","35","9","2,026","2,026","106","190","230","285","367","321","267","178","71","7","4","2,357","2,357","111","167","255","313","416","398","307","258","99","28","5"
